API Number,Trajectory ID,Measured Depth,Inclination,Azimuth,True Vertical Depth,N_S,E_W,Latitude,Longitude
423013415700,371841,8577.00,8.85,176.38,8492.84986,-1121.67,212.44,31.725688650,-103.580922930
423013415700,371841,8672.00,7.72,164.66,8586.86363,-1135.05,214.99,31.725652090,-103.580913510
423013415700,371841,8767.00,7.20,165.10,8681.05921,-1146.86,218.55,31.725619930,-103.580900940
423013415700,371841,8862.00,7.89,163.86,8775.23620,-1158.77,222.24,31.725587490,-103.580887950
423013415700,371841,8957.00,7.47,167.89,8869.38452,-1170.97,225.71,31.725554220,-103.580875670
423013415700,371841,9052.00,8.60,179.47,8963.45657,-1184.07,227.45,31.725518380,-103.580868830
423013415700,371841,9147.00,8.66,179.71,9057.38098,-1198.32,227.97,31.725479270,-103.580865830
423013415700,371841,9241.00,9.95,179.76,9150.14213,-1213.51,228.48,31.725437570,-103.580862750
423013415700,371841,9336.00,8.28,180.53,9243.93922,-1228.55,228.89,31.725396270,-103.580860020
423013415700,371841,9431.00,8.48,176.60,9337.92566,-1242.37,229.65,31.725358370,-103.580856300
423013415700,371841,9526.00,7.81,179.47,9431.96723,-1255.79,230.51,31.725321540,-103.580852250
423013415700,371841,9621.00,8.81,188.51,9525.97264,-1269.47,229.89,31.725283920,-103.580852960
423013415700,371841,9716.00,8.82,190.39,9619.85073,-1283.89,227.92,31.725244130,-103.580857940
423013415700,371841,9811.00,9.06,181.28,9713.70133,-1298.57,226.87,31.725203710,-103.580859950
423013415700,371841,9906.00,8.62,178.96,9807.57292,-1313.16,227.26,31.725163640,-103.580857330
423013415700,371841,10000.00,7.10,180.71,9900.68721,-1326.01,227.69,31.725128380,-103.580854740
423013415700,371841,10095.00,7.18,171.26,9994.95381,-1337.72,228.86,31.725096300,-103.580849870
423013415700,371841,10190.00,8.10,151.82,10089.12525,-1349.36,233.26,31.725064650,-103.580834620
423013415700,371841,10285.00,8.43,136.97,10183.14924,-1360.12,241.49,31.725035750,-103.580807150
423013415700,371841,10340.00,7.95,133.22,10237.58854,-1365.51,247.18,31.725021400,-103.580788380
423013415700,371841,10416.00,8.15,128.02,10312.84062,-1372.19,255.45,31.725003710,-103.580761160
423013415700,371841,10475.56,10.95,108.39,10371.58469,-1376.32,264.27,31.724993070,-103.580732410
423013415700,371841,10511.00,13.00,101.15,10406.25357,-1377.94,271.43,31.724989170,-103.580709250
423013415700,371841,10605.00,23.77,82.18,10495.39839,-1376.56,300.65,31.724995330,-103.580615430
423013415700,371841,10700.00,28.14,55.79,10581.08029,-1360.21,337.83,31.725043240,-103.580497440
423013415700,371841,10795.00,31.45,44.77,10663.57317,-1328.95,372.95,31.725131950,-103.580387470
423013415700,371841,10889.00,44.72,39.30,10737.41589,-1284.64,410.07,31.725256680,-103.580272280
423013415700,371841,10984.00,57.59,40.61,10796.87775,-1226.74,455.88,31.725419470,-103.580130460
423013415700,371841,11079.00,64.18,41.81,10843.07716,-1162.78,508.70,31.725599430,-103.579966630
423013415700,371841,11129.00,66.79,42.88,10863.82243,-1128.29,538.36,31.725696600,-103.579874540
423013415700,371841,11188.00,73.92,47.24,10883.65342,-1087.98,576.53,31.725810430,-103.579755610
423013415700,371841,11282.00,77.69,47.41,10906.70022,-1024.29,641.69,31.725990650,-103.579552110
423013415700,371841,11377.00,82.44,46.08,10923.08667,-958.23,707.91,31.726177500,-103.579345390
423013415700,371841,11472.00,86.29,44.79,10932.41343,-889.96,773.29,31.726370330,-103.579141620
423013415700,371841,11566.00,90.89,43.37,10934.72595,-820.60,836.65,31.726566010,-103.578944430
423013415700,371841,11661.00,91.56,42.47,10932.69495,-749.19,899.27,31.726767240,-103.578749810
423013415700,371841,11756.00,91.56,43.86,10930.10857,-678.07,962.19,31.726967740,-103.578554210
423013415700,371841,11851.00,90.17,42.67,10928.67438,-607.03,1025.25,31.727167990,-103.578358150
423013415700,371841,11946.00,89.34,45.80,10929.08070,-537.07,1089.50,31.727365380,-103.578158150
423013415700,371841,12040.00,88.56,51.25,10930.80453,-472.83,1158.04,31.727547410,-103.577943800
423013415700,371841,12135.00,86.60,51.27,10934.81565,-411.30,1230.31,31.727722270,-103.577717240
423013415700,371841,12229.00,85.71,49.03,10941.11980,-349.13,1300.53,31.727898720,-103.577497320
423013415700,371841,12325.00,88.39,48.26,10946.06001,-283.72,1370.61,31.728084070,-103.577278150
423013415700,371841,12357.00,87.95,43.97,10947.08238,-260.90,1393.00,31.728148600,-103.577208310
423013415700,371841,12420.00,87.11,42.30,10949.79761,-213.73,1434.68,31.728281540,-103.577078740
423013415700,371841,12515.00,90.37,43.52,10951.88640,-142.33,1497.28,31.728482770,-103.576884180
423013415700,371841,12547.00,91.61,44.13,10951.33351,-118.61,1518.75,31.728549660,-103.576817370
423013415700,371841,12610.00,91.18,42.92,10949.79973,-71.70,1560.77,31.728681930,-103.576686670
423013415700,371841,12706.00,91.32,42.06,10947.70546,0.92,1623.51,31.728886540,-103.576491770
423013415700,371841,12800.00,90.03,43.97,10946.59800,71.49,1685.60,31.729085410,-103.576298780
423013415700,371841,12895.00,86.60,47.11,10949.39171,139.93,1751.39,31.729278740,-103.576093680
423013415700,371841,12989.00,86.21,45.81,10955.28607,206.50,1817.48,31.729466980,-103.575887440
423013415700,371841,13085.00,84.65,44.00,10962.93546,276.22,1883.03,31.729663790,-103.575683240
423013415700,371841,13180.00,86.72,42.45,10970.08328,347.10,1945.86,31.729863600,-103.575487880
423013415700,371841,13275.00,87.06,41.22,10975.23752,419.59,2007.04,31.730067700,-103.575297970
423013415700,371841,13370.00,88.68,41.75,10978.76829,492.51,2067.83,31.730272930,-103.575109380
423013415700,371841,13465.00,89.20,41.69,10980.52573,565.22,2128.94,31.730477620,-103.574919700
423013415700,371841,13560.00,89.43,40.44,10981.66152,638.62,2189.23,31.730684160,-103.574732750
423013415700,371841,13655.00,90.55,40.47,10981.67810,712.67,2248.74,31.730892410,-103.574548370
423013415700,371841,13750.00,90.78,39.02,10980.57545,787.45,2307.32,31.731102580,-103.574367040
423013415700,371841,13845.00,91.04,38.64,10979.06667,863.15,2364.70,31.731315190,-103.574189660
423013415700,371841,13939.00,91.55,40.16,10976.94215,937.48,2422.20,31.731524020,-103.574011740
423013415700,371841,14034.00,92.90,41.80,10973.25372,1010.92,2482.34,31.731730650,-103.573825290
423013415700,371841,14129.00,90.60,44.16,10970.35235,1082.24,2545.01,31.731931640,-103.573630460
423013415700,371841,14224.00,89.22,43.67,10970.50157,1152.56,2608.88,31.732129990,-103.573431710
423013415700,371841,14319.00,88.45,45.40,10972.43321,1222.17,2673.49,31.732326450,-103.573230510
